name,line
Marlin,pick lets go
Nemo,dad
Marlin,im kidding reunion
Dory,mom dad parents
Male Blue Tang,dory really jenny charlies girl
Dory,yes thats
Male Blue Tang 2,well dory right disappeared thought well thought must ended quarantine
Dory,uhhuh
Hank,come come come
Male Blue Tang 2,came look
Dory,theyre
Female Blue Tang,dory years ago
Dory,huh
Female Blue Tang 2,never came back
Marlin,oh
Female Blue Tang,see dory fish dont come back quarantine means theyre
Marlin,dory theyre gone
Dory,theyre dead
Female Blue Tang,wanted find
Nemo,wait sure theyre gone
Marlin,dory listen going okay
Female Blue Tang,dory loved much
Hank,anyone looking go cleveland final warning
Nemo,dory right
Marlin,okay
Dory,late
Marlin,dory listen
Dory,dont family
Marlin,dory thats true
Hank,time go
Dory,im alone
Marlin,dory
Nemo,dory
Hank,wheres everybody else orange friends way cleveland ah
Female Worker,found octopus go
Dory,mommy daddy help help help help help help please somebody help hey help help ive lost
Female Fish,oh lost
Dory,iiii
Female Fish,ah sorry honey cant help dont remember
Dory,oh help ive lost
Female Fish 2,specific
Dory,help help please theyre gone ive lost ive lost everyone theres nothing shoot cant forget forgetting something something important going away going away going forget forget forget thats best thats would dory would look around theres water lot kelp kelp better okay okay lots kelp looks looks except theres rock sand way like sand sand squishy oh isnt going anywhere theres nothing nothing kelp lots kelp shells way like shells like shells whoa hello im
Charlie,dory
Jenny,dory youre
Charlie,oh baby
Jenny,youre really
Charlie,let look
Jenny,found us
Charlie,im never letting go
Jenny,oh missing girl youre
Charlie,baby
Charlie,yes oh absolutely
Dory,really mom youre
Dory,dad
Charlie,right kelpcake
Dory,im sorry
Charlie,oh honey oh honey kelpcake
Dory,know ive got problem know im im sorry time ive wanted fix cant try try thoughts leave head ideas change id forgotten im sorry
Jenny,dory dory dory dont dare sorry look
Charlie,found us
Jenny,thats right found us
Charlie,honey think stayed put years believed one day youd find us
Jenny,exactly
Dory,thought gone
Jenny,went quarantine look werent
Charlie,knew must gotten pipes
Jenny,pipes thats right sweetie weve stayed spot ever since
Charlie,thought might come back
Jenny,stayed waited
Charlie,every day go lay
Dory,shells
Jenny,found us oh honey found us know found us remembered remembered amazing dory way
Charlie,oh honey really years
Jenny,oh poor little girl
Dory,oh havent marlin nemo
Marlin,nobody saw dory went
Blue Tangs,sorry didnt see anything
Marlin,seriously thats lot eyeballs nothing
Nemo,oh oh excuse help us looking
Sick Fish,help
Nemo,dad look dory
Marlin,oh thank goodness see nemo knew shed find way hey wheres dory
Hank,im sorry tried hold couldnt lost
Female Driver,right lets get going
Dory,whale swallowed us even though speak whale
Jenny,whale
Charlie,good thing wasnt see
Dory,actually marlin never believes even know speak whale know always kind trusts anyway
Jenny,know like marlin already
Dory,yeah somehow found nemo find dont know know nemo sweetest never gives matter would dory
Charlie,well well certainly thank marlin nemo meet
Dory,wait wait know place
Sigourney Weaver,hello im sigourney weaver
Sigourney Weaver,wont please join us
Dory,thats marine life institute
Jenny,oh born
Charlie,dory friends
Dory,yes stuck something going somewhere truck theyre truck means could never see would dory
Jenny,know theyre good friends truck kind tall order
Dory,please please know miss really miss ive said
Jenny,dory
Dory,mom marlin nemo good friends theyre family get back see found felt like fate know mean dont whats another word fate like destiny destiny destiny
Destiny,dory
Dory,destiny
Bailey,morning dest
Destiny,shh dory somethings wrong
Bailey,ooh got shes right outside institute
Dory,destiny
Bailey,got jump
Destiny,jump
Bailey,time argue
Dory,destiny
Charlie,dory dory truck thing friends leaving
Dory,destiny
Jenny,oh thats bad
Bailey,right
Destiny,yes
Bailey,go one two
Destiny,yes yes cant cant ill never make
Bailey,destiny ive got worlds powerful pair glasses
Destiny,youve got worlds powerful pair glasses
Bailey,eyes
Destiny,eyes walls
Bailey,walls ocean
Destiny,walls
Bailey,destiny destiny
Destiny,well didnt say
Bailey,destiny wait thats wall wall
Dory,mom dad pipe pal destiny say hi
Destiny,dory little blue blobs parents look like
Bailey,hello im bailey mrs dory mr dory
Jenny,oh please call jenny
Charlie,oh im charlie
Dory,okay okay got go got stop truck
Destiny,okay truck
Dory,bailey status report
Bailey,oh yes beautiful gift ooh found trucks merging onto freeway heading south ooh
Dory,lets go stopping truck
Fluke,ive got see
Rudder,yeah yeah
Fluke,oh boy gon na good gerald lost marbles
Rudder,dont get used gerald
Fluke,cheeky joke
Dory,bailey forgot everything catch
Bailey,yes maam ooh friends still truck ooh theyre headed north towards bridge ooh oh look theres bunch cute otters want one ow
Destiny,ow bailey
Charlie,oh see truck
Dory,okay would dory
Destiny,dont see get
Bailey,oh man way stop traffic
Dory,stop traffic stop traffic everyone needs stop people stop look things things like things cute things cute okay got
Dory,quickly forget destiny truck reaches bridge flip
Destiny,got
Dory,guys follow everyone else stay
Jenny,whoa dory honey youre leaving us
Charlie,mothers right stay us
Jenny,dory happens know youre gone long get confused makes distracted
Dory,mom mom lose
Jenny,yes
Dory,mom dad gon na okay know even forget find
Bailey,ooh okay little left ooh back way bit ooh okay thats go dont
Destiny,bailey
Bailey,okay
Destiny,time idea
Dory,okay idea okay would dory come cars cars see cars otters front cars cars stop stop traffic cuddle party
Male Car Driver,look theyre cute
Child,look must one two
Nemo,whats going dad
Marlin,dont know dont know way think something
Nemo,dory
Marlin,dory
Dory,water water need water
Hank,crazy howd get
Marlin,dory
Nemo,dory
Dory,oh
Nemo,thought wed never see
Dory,aw darn matter hard tried couldnt forget guess missed rest family much huh
Nemo,family
Dory,mmhmm know feels like
Marlin,yes know feels like
Blue Tangs,aw
Male Driver,hey hey come truck arent fish shoo
Dory,oh goes ride
Male Driver,back water come
Destiny,dory traffic starting move
Marlin,leave got oooroo oooroo becky becky come back need help becky dory follow wait dont dory becky wait stop need go back becky back back becky looloo ooorooroo please dont eat us
Destiny,wheres dory
Marlin,jenny
Jenny,marlin
Nemo,charlie
Charlie,nemo thank much
Jenny,thank taking care dory
Marlin,dory shes still truck becky fetch dory oooroo dorroo
Hank,okay kid guess goodbye
Hank,mean
Dory,mean youre going cleveland coming ocean
Hank,ruining plans listen one goal life one
Dory,listen great plans never plan plan lose parents plan find marlin plan meet wait
Hank,almost done
Dory,well dont think thats best things happen chance thats life thats ocean safe glass box
Hank,say something
Dory,im done friend mine names sigourney told takes three simple steps rescue rehabilitation one thing
All Fish,release
Dory,thats right say
All Fish,release release release release release release release release release
Hank,gon na say okay
Dory,good
Jenny,oh theyre going away
Charlie,oh dory
Destiny,quick guys grab fin
Bailey,ooh hes trying get door open ooh locked outside
Destiny,come dory
Bailey,destiny destiny wall wall wall
Marlin,dory wait
Destiny,dory bailey headed
Bailey,ooh im losing
Hank,dory
Dory,theres got way
Blue Tangs,yeah theres way
Hank,dory listen theres way get
Dory,theres got way theres always way
Hank,isnt dory im telling time way
Dory,well
Hank,holy carp another way take deep breath kid
All Fish,release release release release release release release
Female Driver,dont care get
Hank,suck bipeds
Dory,right hank youve got seven arms dont know try something
Hank,okay go
Male Driver,huh hey stop stop wait
Female Driver,hey hey stop wait oh
Hank,thats something
Dory,moving good job hank
Female Driver,wait wait wait come whoa
Male Driver,hey hey stop wait wait
Dory,listen im trying tell drive certainly cant im position could go faster
Dory,whoo
Male Driver,hey give us truck back
Hank,cant see squat way going
Dory,okay well cars going left go left gilman street ashby avenue powell gilman street huh gilman street
Hank,much longer gon na veer left
Dory,okay need know got well know get
Hank,well let know figure
Dory,unfortunately cant remember got hey know guys thats came turn right
Hank,go
Male Driver,hey hey hey hey wait
Female Driver,oh whoa hey
Male Driver,fired
Dory,keep straight straight left left right right right good driving hank
Hank,pay attention road
Dory,oh im sorry oh uhoh fork road
Hank,way
Dory,ocean ocean hey boat know havent great experiences boats
Hank,way
Dory,boats go ocean right
Hank,hold time kid go
Dory,okay ill figure dont know well something come seagulls hank follow birds oceans left hank
Seagulls,mine mine mine mine
Bailey,ooh hold ooh im getting something
Destiny,everything perfect
Bailey,uhoh fuzz busted
Dory,okay good ocean straight ahead floor
Hank,talking
Dory,oh uhoh
Hank,mean uhoh
Dory,oh would would would hank im gon na ask something crazy
Hank,im okay crazy
Dory,right hank
Bailey,ooh theres way theyre going fish jail ooh wait ooh oh ooh get back incoming
Fluke,fish
Rudder,fish
Sigourney Weaver,lies represents third final part marine life mission rescue rehabilitation release
Charlie,come papa
Sigourney Weaver,im sigourney weaver thank joining
Dory,one two three four wait minute counting hey everyone uhoh leave wouldnt okay thats okay figure covering face trying hide okay trying hide wait oh five six seven eight nine ten ready come ha found see haha gotcha
Hank,right little shrimps recess
Bailey,aw man
Destiny,ah nobody found
Hank,bring bring time another dont touch time another lesson
Kathy,mr ray coming back migration
Hank,hes smart hell stay away long im substitute teacher
Bailey,okay kids wants learn echolocation
Kids,boo nobody
Destiny,oh come guys actually really cool
Charlie,okay kelpcake fun
Jenny,nice day swim huh
Dory,right bye mom bye dad
Marlin,well guess well go back home brush anemone coming dory
Dory,oh im going dropoff
Marlin,oh okay dropoff thats thats good idea
Dory,yeah thought id go enjoy view bye bye
Marlin,view well good time getting lost
Dory,oh
Marlin,huh oh dory dory dory
Dory,hey marlin
Marlin,oh hey hello dory
Dory,right look worried
Marlin,im fine always look
Marlin,well
Jenny,yay
Charlie,kelpcake
Jenny,yes
Jenny,sweetie followed shells way back home
Young Dory,oh gosh
Jenny,yeah
Charlie,know means honey
Jenny,means whatever put mind dory
Young Dory,really mommy go play
Jenny,yes
Charlie,absolutely go get kelpcake
Dory,yeah hmm
Marlin,hmm really quite view
Dory,yep unforgettable
Gil,come roll roll thats hurry thats roll
Peach,im right behind
Gil,little farther thats
Gurgle,truly going vomit
Jacques,voil
Gil,right gang good work
Deb,look flo made
Gil,wont problems
Female Aquarist,respect ocean life
